"date" "close" "volume" "open" "high" "low"
"2018/07/05" "1141.2900" "1426446.0000" "1124.6000" "1144.1400" "1123.1200"
"2018/07/03" "1116.2800" "822394.0000" "1149.4200" "1149.9100" "1114.4300"
"2018/07/02" "1142.1100" "1160102.0000" "1115.3500" "1142.9900" "1106.6000"
"2018/06/29" "1129.1900" "1576518.0000" "1132.3100" "1141.3590" "1127.0200"
"2018/06/28" "1126.7800" "1486166.0000" "1112.3900" "1134.0000" "1106.0724"
"2018/06/27" "1116.9400" "1710210.0000" "1136.0000" "1146.2100" "1116.7000"
"2018/06/26" "1132.6200" "1731587.0000" "1144.1400" "1146.8700" "1129.0000"
"2018/06/25" "1139.2800" "2883265.0000" "1155.0000" "1155.9900" "1119.9000"
"2018/06/22" "1169.2900" "1710355.0000" "1171.4950" "1175.0000" "1159.6500"
"2018/06/21" "1169.4400" "2244230.0000" "1185.5100" "1190.3330" "1163.4800"
"2018/06/20" "1184.0700" "2581349.0000" "1183.3000" "1201.4900" "1182.0300"
"2018/06/19" "1178.6900" "2361117.0000" "1170.1100" "1182.8100" "1161.6100"
"2018/06/18" "1183.5800" "1646603.0000" "1152.6900" "1184.1300" "1151.0000"
"2018/06/15" "1159.2700" "2212316.0000" "1159.9200" "1163.9088" "1153.6900"
"2018/06/14" "1160.1100" "1769321.0000" "1152.2100" "1165.9900" "1150.6000"
"2018/06/13" "1144.2300" "1708019.0000" "1152.2800" "1155.6400" "1143.3800"
"2018/06/12" "1148.1900" "1294382.0000" "1141.0200" "1148.7500" "1141.0200"
"2018/06/11" "1140.9000" "1231629.0000" "1132.9400" "1147.7400" "1131.3986"
"2018/06/08" "1132.7100" "1363479.0000" "1131.2100" "1138.7800" "1123.2300"
"2018/06/07" "1134.4200" "1804825.0000" "1144.5800" "1145.8650" "1126.1200"
"2018/06/06" "1146.9500" "1746129.0000" "1152.7700" "1154.7139" "1136.3201"
"2018/06/05" "1151.0200" "1643828.0000" "1154.6600" "1161.0964" "1147.4600"
"2018/06/04" "1153.0400" "2236173.0000" "1138.5000" "1157.8573" "1137.0000"
"2018/06/01" "1135.0000" "3156763.0000" "1112.8700" "1138.1600" "1112.0101"
"2018/05/31" "1100.0000" "3964976.0000" "1082.0000" "1110.0000" "1078.0000"
"2018/05/30" "1077.4700" "1423543.0000" "1073.4800" "1078.9900" "1066.5500"
"2018/05/29" "1068.0700" "1795685.0000" "1076.0000" "1081.3400" "1063.0800"
"2018/05/25" "1084.0800" "1101179.0000" "1086.5500" "1089.5700" "1082.6000"
"2018/05/24" "1085.4500" "1026860.0000" "1086.9000" "1087.1200" "1072.3000"
"2018/05/23" "1085.9600" "1185993.0000" "1070.0000" "1088.0000" "1066.9600"
"2018/05/22" "1075.3100" "1110885.0000" "1089.8000" "1091.8000" "1072.2600"
"2018/05/21" "1084.0100" "1256781.0000" "1079.0000" "1093.3000" "1078.0000"
"2018/05/18" "1069.6400" "1771151.0000" "1066.0000" "1073.7300" "1064.6800"
"2018/05/17" "1081.2600" "1285418.0000" "1081.4600" "1091.0000" "1076.4200"
"2018/05/16" "1084.0900" "1280674.0000" "1085.0900" "1094.3825" "1081.6301"
"2018/05/15" "1084.8700" "1785306.0000" "1096.9000" "1099.1200" "1078.7800"
"2018/05/14" "1106.6000" "1965381.0000" "1105.5700" "1118.1500" "1104.8000"
"2018/05/11" "1103.3800" "1524674.0000" "1100.4100" "1109.0100" "1097.2200"
"2018/05/10" "1105.4700" "1819795.0000" "1095.0000" "1109.4100" "1093.8800"
"2018/05/09" "1088.9500" "2352271.0000" "1064.1000" "1094.0000" "1062.1100"
"2018/05/08" "1058.5900" "1273984.0000" "1064.6200" "1065.2300" "1051.6410"
"2018/05/07" "1059.4600" "1724172.0000" "1053.8900" "1065.0000" "1050.2697"
"2018/05/04" "1051.0000" "1842888.0000" "1019.6100" "1051.8792" "1018.0500"
"2018/05/03" "1026.3000" "1952952.0000" "1025.3700" "1030.6900" "1007.8900"
"2018/05/02" "1026.0500" "1667720.0000" "1034.0000" "1043.9800" "1023.1600"
"2018/05/01" "1040.7500" "1762608.0000" "1016.3000" "1041.7300" "1010.6100"
"2018/04/30" "1018.5800" "1719329.0000" "1034.4200" "1038.3700" "1018.3000"
"2018/04/27" "1031.4500" "2035027.0000" "1045.5400" "1051.6950" "1027.5900"
"2018/04/26" "1043.3100" "2517613.0000" "1033.2200" "1052.0200" "1020.4500"
"2018/04/25" "1022.9900" "2817823.0000" "1029.7500" "1036.0700" "1017.0100"
"2018/04/24" "1022.6400" "6385045.0000" "1059.2000" "1064.4900" "1012.8550"
"2018/04/23" "1073.8100" "3415873.0000" "1082.9800" "1088.0000" "1066.6800"
"2018/04/20" "1077.3200" "2102478.0000" "1084.2700" "1094.7500" "1072.1000"
"2018/04/19" "1089.4500" "1985396.0000" "1069.0200" "1097.5100" "1069.0200"
"2018/04/18" "1075.3900" "1545137.0000" "1079.0100" "1082.0000" "1070.5150"
"2018/04/17" "1079.3600" "2725880.0000" "1061.2000" "1085.0000" "1057.0901"
"2018/04/16" "1046.1000" "1488006.0000" "1045.5500" "1051.4295" "1033.9200"
"2018/04/13" "1036.0400" "1227585.0000" "1046.8900" "1052.9800" "1030.1500"
"2018/04/12" "1037.2900" "1642796.0000" "1031.4700" "1044.6500" "1026.0500"
"2018/04/11" "1025.0600" "1649928.0000" "1032.0000" "1035.8700" "1019.2000"
"2018/04/10" "1036.5000" "1832822.0000" "1030.2600" "1041.2100" "1015.4100"
"2018/04/09" "1020.0900" "1658797.0000" "1020.0400" "1044.5900" "1019.2000"
"2018/04/06" "1009.9500" "2004659.0000" "1023.1000" "1036.0000" "1006.2501"
"2018/04/05" "1032.6400" "1745491.0000" "1046.3900" "1046.7100" "1024.0000"
"2018/04/04" "1029.7100" "2533032.0000" "998.2300" "1032.7400" "996.5100"
"2018/04/03" "1018.6800" "2565399.0000" "1016.1500" "1025.0000" "997.2450"
"2018/04/02" "1012.6300" "3244444.0000" "1027.6200" "1039.5300" "994.2500"
"2018/03/29" "1037.1400" "3465316.0000" "1011.2100" "1048.0500" "1004.0400"
"2018/03/28" "1005.1800" "3880265.0000" "1001.9100" "1024.9900" "984.0000"
"2018/03/27" "1006.9400" "3020932.0000" "1063.9000" "1064.5400" "997.6200"
"2018/03/26" "1054.0900" "3295560.0000" "1050.6000" "1059.2700" "1010.5800"
"2018/03/23" "1026.5500" "2488884.0000" "1051.3700" "1066.7799" "1024.8700"
"2018/03/22" "1053.1500" "3424001.0000" "1080.0100" "1083.9200" "1049.6400"
"2018/03/21" "1094.0000" "2213051.0000" "1092.5700" "1108.7000" "1087.2100"
"2018/03/20" "1095.8000" "2729342.0000" "1098.4000" "1105.5500" "1082.4200"
"2018/03/19" "1100.0700" "3092245.0000" "1117.7600" "1119.3700" "1088.9200"
"2018/03/16" "1134.4200" "2711479.0000" "1155.3500" "1156.8100" "1131.3600"
"2018/03/15" "1150.6100" "1665598.0000" "1149.5700" "1162.5000" "1135.6600"
"2018/03/14" "1148.8900" "2092946.0000" "1145.8000" "1159.7599" "1142.3500"
"2018/03/13" "1139.9100" "2153897.0000" "1171.8300" "1178.0000" "1134.5700"
"2018/03/12" "1165.9300" "2198182.0000" "1165.0500" "1178.1600" "1159.2000"
"2018/03/09" "1160.8400" "2130889.0000" "1139.5000" "1161.0000" "1134.2900"
"2018/03/08" "1129.3800" "1726412.0000" "1117.2000" "1131.4400" "1117.2000"
"2018/03/07" "1115.0400" "1489488.0000" "1092.8200" "1116.2000" "1089.9102"
"2018/03/06" "1100.9000" "1160359.0000" "1102.1030" "1105.6300" "1094.5000"
"2018/03/05" "1094.7600" "1366391.0000" "1078.1300" "1101.1800" "1072.2701"
"2018/03/02" "1084.1400" "2462459.0000" "1057.9800" "1086.8900" "1050.1100"
"2018/03/01" "1071.4100" "2763443.0000" "1109.5400" "1111.2732" "1067.2850"
"2018/02/28" "1103.9200" "2456040.0000" "1122.0000" "1127.6500" "1103.0000"
"2018/02/27" "1117.5100" "2135306.0000" "1143.7000" "1144.2500" "1116.7901"
"2018/02/26" "1143.7000" "1503166.0000" "1131.8600" "1144.2000" "1129.3400"
"2018/02/23" "1128.0900" "1262837.0000" "1118.6600" "1129.0000" "1108.4373"
"2018/02/22" "1109.9000" "1398673.0000" "1119.1700" "1125.4600" "1105.1500"
"2018/02/21" "1113.7500" "2071384.0000" "1109.1000" "1136.2000" "1107.5100"
"2018/02/20" "1103.5900" "1683724.0000" "1092.7600" "1116.2900" "1090.0000"
"2018/02/16" "1095.5000" "1993147.0000" "1093.3800" "1108.3100" "1091.5500"
"2018/02/15" "1091.3600" "1858866.0000" "1083.4500" "1094.1000" "1067.2300"
"2018/02/14" "1072.7000" "2057532.0000" "1054.3200" "1075.4700" "1049.8000"
"2018/02/13" "1054.1400" "1575967.0000" "1050.0000" "1061.2200" "1046.9200"
"2018/02/12" "1054.5600" "2804888.0000" "1056.6700" "1065.5700" "1045.4900"
"2018/02/09" "1046.2700" "4912365.0000" "1025.8800" "1051.7200" "997.0000"
"2018/02/08" "1007.7100" "3330234.0000" "1059.8700" "1063.9300" "1004.7000"
"2018/02/07" "1055.4100" "2584451.0000" "1084.9700" "1086.5300" "1054.6200"
"2018/02/06" "1084.4300" "3805467.0000" "1033.9800" "1087.3750" "1030.0100"
"2018/02/05" "1062.3900" "4151504.0000" "1100.6100" "1114.9900" "1056.7400"
"2018/02/02" "1119.2000" "5831818.0000" "1127.4200" "1131.3000" "1111.1700"
"2018/02/01" "1181.5900" "3617850.0000" "1175.9900" "1187.4500" "1169.3600"
"2018/01/31" "1182.2200" "1788813.0000" "1183.8100" "1186.3200" "1172.1000"
"2018/01/30" "1177.3700" "1813553.0000" "1177.7200" "1187.9300" "1174.5100"
"2018/01/29" "1186.4800" "1570320.0000" "1188.0000" "1198.0000" "1184.0600"
"2018/01/26" "1187.5600" "2097874.0000" "1187.5300" "1187.5600" "1168.0300"
"2018/01/25" "1182.1400" "1486658.0000" "1180.7100" "1185.0000" "1171.8400"
"2018/01/24" "1171.2900" "1845809.0000" "1184.9800" "1187.0500" "1167.4010"
"2018/01/23" "1176.1700" "1940085.0000" "1170.6200" "1178.5100" "1167.2500"
"2018/01/22" "1164.1600" "1475670.0000" "1143.8200" "1166.8800" "1141.8200"
"2018/01/19" "1143.5000" "1449097.0000" "1138.0300" "1143.7797" "1132.5000"
"2018/01/18" "1135.9700" "1372015.0000" "1139.3500" "1140.5850" "1124.4650"
"2018/01/17" "1139.1000" "1389212.0000" "1136.3600" "1139.3200" "1123.4900"
"2018/01/16" "1130.7000" "1803008.0000" "1140.3100" "1148.8800" "1126.6600"
"2018/01/12" "1130.6500" "1926815.0000" "1110.1000" "1131.3025" "1108.0101"
"2018/01/11" "1112.0500" "1109701.0000" "1112.3100" "1114.8500" "1106.4800"
"2018/01/10" "1110.1400" "1036362.0000" "1107.0000" "1112.7800" "1103.9842"
"2018/01/09" "1112.7900" "1338828.0000" "1118.4400" "1118.4400" "1108.2010"
"2018/01/08" "1114.2100" "1231344.0000" "1111.0000" "1119.1600" "1110.0000"
"2018/01/05" "1110.2900" "1512493.0000" "1103.4500" "1113.5799" "1101.7950"
"2018/01/04" "1095.7600" "1302470.0000" "1097.0900" "1104.0765" "1094.2600"
"2018/01/03" "1091.5200" "1564410.0000" "1073.9300" "1096.1000" "1073.4300"
"2018/01/02" "1073.2100" "1587358.0000" "1053.0200" "1075.9800" "1053.0200"
"2017/12/29" "1053.4000" "1178433.0000" "1055.4900" "1058.0500" "1052.7000"
"2017/12/28" "1055.9500" "993945.0000" "1062.2500" "1064.8400" "1053.3800"
"2017/12/27" "1060.2000" "1115893.0000" "1066.6000" "1068.2700" "1058.3800"
"2017/12/26" "1065.8500" "918251.0000" "1068.6400" "1068.8600" "1058.6401"
"2017/12/22" "1068.8600" "885293.0000" "1070.0000" "1071.7200" "1067.6400"
"2017/12/21" "1070.8500" "1247608.0000" "1075.3900" "1077.5200" "1069.0000"
"2017/12/20" "1073.5600" "1435721.0000" "1080.9200" "1081.2350" "1068.6000"
"2017/12/19" "1079.7800" "1291608.0000" "1083.0200" "1084.9750" "1072.2704"
"2017/12/18" "1085.0900" "1512241.0000" "1076.4500" "1086.4900" "1070.3700"
"2017/12/15" "1072.0000" "3184555.0000" "1063.7800" "1075.2500" "1060.0901"
"2017/12/14" "1057.4700" "1545568.0000" "1055.4900" "1067.0800" "1053.5950"
"2017/12/13" "1051.3900" "1383935.0000" "1052.0800" "1055.4800" "1046.5800"
"2017/12/12" "1048.7700" "1692799.0000" "1050.0000" "1062.5000" "1044.8700"
"2017/12/11" "1051.9700" "1161981.0000" "1051.1100" "1056.0000" "1044.1200"
"2017/12/08" "1049.3800" "1491994.0000" "1051.8100" "1056.4200" "1045.8600"
"2017/12/07" "1044.5700" "1542074.0000" "1036.0700" "1048.9200" "1035.3600"
"2017/12/06" "1032.7200" "1380665.0000" "1016.5200" "1039.5800" "1015.3100"
"2017/12/05" "1019.6000" "1948970.0000" "1010.9900" "1036.6800" "1002.3150"
"2017/12/04" "1011.8700" "1938233.0000" "1027.8000" "1031.3400" "1009.2200"
"2017/12/01" "1025.0700" "1867088.0000" "1030.4100" "1037.2450" "1016.9000"
"2017/11/30" "1036.1700" "2232482.0000" "1039.9400" "1044.1399" "1030.0700"
"2017/11/29" "1037.3800" "2789533.0000" "1056.1800" "1058.7700" "1029.6533"
"2017/11/28" "1063.2900" "1819336.0000" "1073.9900" "1080.0000" "1054.5400"
"2017/11/27" "1072.0100" "1771183.0000" "1058.5700" "1073.0350" "1054.7713"
"2017/11/24" "1056.5200" "825369.0000" "1054.3900" "1060.0700" "1051.9200"
"2017/11/22" "1051.9200" "726428.0000" "1051.1600" "1055.4300" "1047.2500"
"2017/11/21" "1050.3000" "1080867.0000" "1040.0400" "1050.3900" "1039.1400"
"2017/11/20" "1034.6600" "857692.0000" "1036.0000" "1038.6950" "1032.6750"
"2017/11/17" "1035.8900" "1334171.0000" "1049.8000" "1051.0000" "1033.7300"
"2017/11/16" "1048.4700" "1137569.0000" "1038.7500" "1051.7600" "1038.0000"
"2017/11/15" "1036.4100" "903823.0000" "1035.0000" "1039.6300" "1030.7600"
"2017/11/14" "1041.6400" "1049579.0000" "1037.7200" "1042.3000" "1029.3300"
"2017/11/13" "1041.2000" "940083.0000" "1040.8000" "1048.7400" "1039.2600"
"2017/11/10" "1044.1500" "970438.0000" "1043.8700" "1046.6300" "1041.2200"
"2017/11/09" "1047.7200" "1793882.0000" "1048.0000" "1050.8800" "1035.8500"
"2017/11/08" "1058.2900" "1214458.0000" "1050.0500" "1062.6910" "1047.0500"
"2017/11/07" "1052.3900" "1303523.0000" "1049.6500" "1053.4100" "1043.0000"
"2017/11/06" "1042.6800" "913890.0000" "1049.1000" "1052.5900" "1042.0000"
"2017/11/03" "1049.9900" "1385129.0000" "1042.7500" "1050.6600" "1037.6500"
"2017/11/02" "1042.9700" "1334054.0000" "1039.9900" "1045.5200" "1028.6600"
"2017/11/01" "1042.5950" "2132655.0000" "1036.3150" "1047.8600" "1034.0000"
"2017/10/31" "1033.0400" "1502091.0000" "1033.0000" "1041.0000" "1026.2950"
"2017/10/30" "1033.1300" "2339218.0000" "1029.1600" "1039.8300" "1022.3300"
"2017/10/27" "1033.6700" "5182669.0000" "1030.9900" "1063.6200" "1026.8500"
"2017/10/26" "991.4200" "2341752.0000" "998.4700" "1006.5100" "990.4700"
"2017/10/25" "991.4600" "1398153.0000" "986.2700" "994.4300" "977.7220"
"2017/10/24" "988.4900" "1437362.0000" "986.5000" "989.2600" "977.0800"
"2017/10/23" "985.5400" "1637624.0000" "1005.1800" "1005.7938" "983.1000"
"2017/10/20" "1005.0700" "1605177.0000" "1007.0500" "1008.6500" "1002.2700"
"2017/10/19" "1001.8400" "1681370.0000" "1004.7500" "1007.3220" "997.3000"
"2017/10/18" "1012.7400" "1278729.0000" "1011.0500" "1016.3091" "1005.3200"
"2017/10/17" "1011.0000" "1006931.0000" "1007.4400" "1014.5600" "1006.0500"
"2017/10/16" "1009.3500" "1069349.0000" "1009.6300" "1012.0000" "1001.5200"
"2017/10/13" "1007.8700" "1327076.0000" "1009.1100" "1014.7600" "1007.0600"
"2017/10/12" "1005.6500" "1540348.0000" "1003.8400" "1011.5388" "1001.1000"
"2017/10/11" "1005.6500" "1813182.0000" "989.0400" "1007.5650" "987.9400"
"2017/10/10" "987.8000" "1163319.0000" "995.3000" "997.4700" "981.1100"
"2017/10/09" "992.3100" "1294495.0000" "995.0000" "1000.4600" "991.5000"
"2017/10/06" "993.6400" "1551905.0000" "980.0000" "994.2600" "978.5100"
"2017/10/05" "985.1900" "1778767.0000" "972.7900" "986.5085" "970.2700"
